AGENCY,NAME,ADDRESS,CITY,STATE,ZIPCODE,PHONE,WEBSITE,YOUTH_FACILITIES,BEST_TIMES,ADVANCE_RESERVATION,THIRTY_FIVE,
Army Corps,Falls Lake,11405 Falls of the Neuse Road,Wake Forest ,North Carolina,27587,(919) 846-9332,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/FallsLake.aspx,"Restrooms, Visitor Center, Amphitheater, Day Use Areas, Other: Fishing Pier, Trails",All Year,Y,Y,
Army Corps,Fern Ridge Lake,26275 Clear Lake Road,Junction City,Oregon,97448,(541) 942-5631,http://www.nwp.usace.army.mil/Locations/Willamette-Valley/Fern-Ridge/,"Restrooms, Day use areas","Winter, Spring, Fall",Y,Y,
Army Corps,Foster Lake,2000 53rd Avenue,Foster,Oregon,97345,(541) 942-5631,http://www.nwp.usace.army.mil/Locations/Willamette-Valley/Foster/,"Restrooms, Day use areas","Winter, Spring, Fall",Y,Y,
Army Corps,Franklin Falls Dam,46 Granite Drive,Franklin ,New Hampshire,03235,(603) 934-2116,http://www.nae.usace.army.mil/Missions/Recreation/Franklin-Falls-Dam/,"restrooms, playground, day use areas, disc golf course",All Year - By Request,Y,Y,
Army Corps,Georgetown,500 Lake Overlook Drive,Georgetown,Texas,78633,(512) 819-9046,http://www.swf-wc.usace.army.mil/Georgetown/,"Restrooms, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,Granger,3100 Granger Dam Road,Granger,Texas,76350,(512) 859-2668,http://www.swf-wc.usace.army.mil/Granger/,"Restrooms, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,Grapevine,110 Fairway Drive,Grapevine,Texas,76051,(817) 865-2600,http://www.swf-wc.usace.army.mil/grapevine/,"Restrooms, Day use areas","Fall, Winter",Y,Y,
Army Corps,Green River Lake,544 Lake Road,Campbellsville,Kentucky,42718,(270) 465-4463,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Green-River-Lake/,"Restrooms, Visitor Center, Shelters, Picnic sites, Trails, Fishing sites, Playgrounds, Day use areas, Boat Ramps, Swimming Areas, Camping",All Year,Y,Y,
Army Corps,Greers Ferry Project Office,700 Heber Springs Road North,Heber Springs,Arkansas,72543,(501) 362-2416,http://swl.usace.army.mil/missions/recreation/lakes/Greers-Ferry-Lake,"Restrooms, Disc Golf",,N,N,
Army Corps,Greers Ferry-William Carl Garner Visitor Center ,700 Heber Springs Road North,Heber Springs,Arkansas,72543,(501) 362-9067,http://swl.usace.army.mil/missions/recreation/lakes/Greers-Ferry-Lake/Wm-Carl-Garner-Visitor-Center,"Visitor Center, Restrooms, Disc Golf",Spring,Y,Y,
Army Corps,Harry S. Truman Project Office,15968 Truman Road,Warsaw,Missouri,65355,(660) 438-7317,http://www.nwk.usace.army.mil/Locations/,"Restroom, Visitor Center, Amphithearter, Group Shelters, Day use areas",All Year,Y,Y,
Army Corps,Hartwell Dam and Lake,5625 Anderson Hwy,Hartwell,Georgia,30643,(706) 856-0300,http://www.sas.usace.army.mil/About/Divisions-and-Offices/Operations-Division/Hartwell-Dam-and-Lake/,"Visitor Center, Group Shelters, Day Use Areas, Swim Beaches, Restrooms, Playgrounds",All Year,Y,Y,
Army Corps,Hensley Lake,25207 Road 407,Raymond,California,93653,(559) 673-5151,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Hensley-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Hensley Lake,25207 Road 407,Raymond,California,93653,(559) 673-5151,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Hensley-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Hillsdale,26000 W. 255th St,Paola ,Kansas,66071,(913) 783-4366,http://www.nwk.usace.army.mil/Locations/,"Restroom, Visitor Center, other","Spring, Summer",Y,N,
Army Corps,Hop Brook Lake,4 Straits Turnpike,Middlebury,Connecticut,06762,(203) 729-8840,http://www.nae.usace.army.mil/Missions/Recreation/Hop-Brook-Lake/,"restrooms, group shelters, beach, day use areas, sports fields",All Year - By Request,Y,Y,
Army Corps,Hords Creek,23 Friendship Park Road,Coleman,Texas,76834,(325) 625-2322,http://www.swf-wc.usace.army.mil/hords creek/,"Group Shelters, Restrooms, Day Use Area","Spring, Fall, Winter",Y,Y,
Army Corps,Ice Harbor Lock and Dam - Lake Sacajawea - Visitor Center,2763 Monument Drive,Burbank,Washington,99323,(509) 547-2048,http://www.nww.usace.army.mil/Missions/Recreation/Ice-Harbor-Dam-Lake-Sacajawea/,"Visitor Center, restrooms, picnic area","Spring, Fall preferred, including off-site programs; Summer possible",Y,Y,
Army Corps,J. Percy Priest Lake,3737 Bell Road,Nashville,Tennessee,37214,(615) 889-1975,http://www.lrn.usace.army.mil/Locations/Lakes/J-Percy-Priest-Lake/,"Restrooms, Group shelters, Day use areas",Summer,Y,Y,
Army Corps,J. Strom Thurmond Dam and Lake,510 Clarks Hill Highway,Clarks Hill,South Carolina,29821,(800) 533-3478,http://corpslakes.usace.army.mil/visitors/projects.cfm?ID=K603350,"Restrooms, visitor center, group shelters, day use areas, campgrounds, hiking, trails, biking trails, equestrian trail, boat ramp","Spring, Summer (By Request), Fall, Winter",Y,Y,
Army Corps,John Day Lock and Dam- LePage Park ,"I-84, Exit 114",Rufus ,Oregon,97050,(541) 506-7819,http://www.nwp.usace.army.mil/Locations/Columbia-River/John-Day/,"Restrooms, Group shelters, Day use areas",All Year,Y,Y,
Army Corps,John Day Lock and Dam- Plymouth Park ,Christy Road,Plymouth ,Washington,99346,(541) 506-7819,http://www.nwp.usace.army.mil/Locations/Columbia-River/John-Day/,"Restrooms, Group shelters, Day use areas",All Year,Y,Y,
Army Corps,John H. Kerr Dam and Reservoir,1930 Mays Chapel Road,Boydton,Virginia,23917,(434) 738-6143,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/JohnHKerr.aspx,"Restrooms, Visitor Center, Environmental Education Facility, Amphitheater, Group Shelter, Day Use Areas, Other: Trails",All Year,Y,Y,
Army Corps,John Martin Reservoir,29955 County Road 25.75,Hasty ,Colorado,81044,(719) 336-3476,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/John-Martin-Reservoir/,"Information Center, Day Use, Restrooms",None,N,Y,
Army Corps,Knightville Dam,49 Knightville Dam Road,Huntington,Massachusetts,01050,(413) 667-3430,http://www.nae.usace.army.mil/Missions/Recreation/Knightville-Dam/,"group camping area, restrooms, group shelter, day use areas",All Year - By Request,Y,Y,
Army Corps,Lake Barkley ,200 Barkley Dam Overlook,Grand Rivers,Kentucky,45045,(270) 362-4236,http://www.lrn.usace.army.mil/Locations/Lakes/Lake-Barkley/,"Restrooms, Visitor Center",Summer,Y,N,
Army Corps,Lake Cumberland WOL/R,855 Boat Dock Rd,Somerset,Kentucky,42501,(606) 679-6337,http://www.lrn.usace.army.mil/Locations/Lakes/Lake-Cumberland/,"restrooms,visitor center, day use, shelters",All Year,Y,Y,
Army Corps,Lake Kaweah,34443 Sierra Drive,Lemon Cove,California,93244,(559) 597-2301,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Lake-Kaweah/,"Visitors Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Lake Mendocino,1160 Lake Mendocino Dr,Ukiah,California,95482,(707) 467-4200,http://www.spn.usace.army.mil/Missions/Recreation/Lake/,"Restrooms, Camping, Group Shelters, Day Use Areas, Environmental Education Facility (Egg Collection Facility)",Winter,Y,Y,
Army Corps,Lake O' The Pines,2669 FM 729,Jefferson,Texas,75657,(903) 665-2336,http://www.swf-wc.usace.army.mil/lakeopines/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps",All Year,Y,Y,
Army Corps,Lake Seminole,2382 Booster Club Rd,Chattahoochee,Florida,32324,(229) 662-2001,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Lake-Seminole/,"restrooms,visitor center, day use, group shelters",All Year - By Request,Y,Y,
Army Corps,Lake Sidney Lanier,1050 Buford Dam Road,Buford,Georgia,30518,(770) 945-9531,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Lake-Sidney-Lanier/,"restrooms,visitor center, day use, group shelters",All Year - By Request,Y,Y,
Army Corps,Lake Sonoma,3333 Skaggs Springs Rd ,Geyserville,California,95441,(707) 431-4533,http://www.spn.usace.army.mil/Missions/Recreation/Lake/,"Restrooms, Visitor Center, Camping, Group Shelters, Day Use Areas, Environmental Education Facility (Fish Hatchery)",All Year ,Y,Y,
Army Corps,Lavon,3375 Skyview Drive,Wylie,Texas,75098,(972) 442-3141,http://www.swf-wc.usace.army.mil/lavon/,"RR & Day Use Areas @ Avalon, East Fork, Lavonia, Pebble Beach, Mallard, Little Ridge, Tickey Creek & Clear Lake Parks","Fall, Winter",Y,Y,
Army Corps,Lewisville,1801 N. Mill,Lewisville,Texas,75057,(469) 645-9100,http://www.swf-wc.usace.army.mil/lewisville/,RR & Day Use Area @ Westlake Park,"Fall, Winter",Y,Y,
Army Corps,Libby Dam Visitor Center,260 Souse Gulch Road,Libby,Montana,59923,(406) 293-5577,http://www.nws.usace.army.mil/Missions/Civil-Works/Locks-and-Dams/Libby-Dam/,"Visitor Center with movie theater, large meeting rooms downstairs, restrooms, picnic shelters (3), boat ramp, Day use area, disc golf course, nature trail. ","Field trips & class tours: Spring and Fall.  Classroom visits, Fall and Winter. General tours, Summer.  # of programs available is limited by staff (one person) - book early!",Y,Y,
Army Corps,Littleville Lake,32 Goss Hill Road,Huntington,Massachusetts,01050,(413) 667-3656,http://www.nae.usace.army.mil/Missions/Recreation/Littleville-Lake/,"day use areas, boat launch",All Year - By Request,Y,Y,
Army Corps,Long Branch Project Office,30174 Visitor Center Road,Maccon,Missouri,63552,(660) 385-2108,http://www.nwk.usace.army.mil/Locations/,"Restroom, Visitor Center, other",All Year ,Y,N,
Army Corps,Lookout Point Lake,40386 West Boundary Road,Lowell,Oregon,97452,(541) 942-5631,http://www.nwp.usace.army.mil/Locations/Willamette-Valley/Lookout-Point/,"Restrooms, Day use areas","Winter, Spring, Fall",Y,Y,
Army Corps,Martins Fork Lake and Dam,5965 Highway 987,Smith,Kentucky,40831,(606) 573-1468,http://www.lrn.usace.army.mil/op/mar/rec,Day use area with 2 group shelters and beach,All,Y,Y,
Army Corps,Martis Creek Lake,11989 Martis Dam Road,Truckee,California,96161,(530) 587-8113,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Martis-Creek-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",May-October,N,Y,
Army Corps,McNary Lock and Dam - Lake Wallula - Hood Park Amphitheater,Hood Park,Burbank,Washington,99323,(509) 547-2048,https://www.facebook.com/IceHarborDam,"amphitheater, day use areas, picnic areas, restrooms",Summer (on a schedule--typically Saturday evenings around 7:30 pm),N,Y,
Army Corps,Monroe Lake,1620  E  MONROE DAM CT,BLOOMINGTON,Indiana,47401,(812) 824-9136,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Monroe-Lake/,"Restrooms,  group shelters, day use areas, playgrounds, fishing areas","Spring, Summer, Fall",Y,N,
Army Corps,Mount Morris Dam and Recreation Area,6103 Visitor Center Road,Mount Morris,New York,14510,(585) 658-4790,http://www.lrb.usace.army.mil/Missions/Recreation/Mount-Morris-Dam/,"Day Use Area, Visitor Center, Group shelters, playground, hiking trails, biking trails","Spring, Summer, Fall",Y,Y,
Army Corps,Mountain Home Project Office  (Norfork and Bull Shoals Lakes),324 West 7th Street,Mountain Home,Arkansas,72653,(870) 425-2700,http://www.swl.usace.army.mil/,"Restrooms, Showers, Outdoor Amphitheaters, Group Picnic Shelters, Playgrounds, Day Use Areas, Hiking Trails, Geocaching, Public Campgrounds. ",All Year,Y,Y,
Army Corps,Navarro Mills Lake,1175 FM 667,Purdon,Texas,76679,(254) 578-1431,http://www.swf-wc.usace.army.mil/navarro/,"Group Shelters, Restrooms, Day Use Area","Spring, Fall, Winter",Y,Y,
Army Corps,New Hogan Lake,2713 Hogan Dam Road,Valley Springs,California,95252,(209) 771-1343,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/New-Hogan-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Nimrod Lake,3 HWY 7 South,Plainview,Arkansas,72857,(479) 272-4324,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/Nimrod-Lake/,"Restrooms, Amphitheater, Group Shelters, Day Use Area, Launch Ramps, Playgrounds,",Year-around,Y,Y,
Army Corps,Nolin River Lake,PO Box 339 ,Bee Spring,Kentucky,42141,(270) 286-4511,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Nolin-River-Lake/,"Restroom, Day Use, Group Shelter, Fishing, Boat Ramp",All Year,Y,Y,
Army Corps,North Hartland Lake,112 Clay Hill Road,Hartland,Vermont,05052,(802) 295-2855,http://www.nae.usace.army.mil/Missions/Recreation/North-Hartland-Lake/,"restrooms, beach, day use areas, group shelters, visitor center, playground",All Year - By Request,Y,Y,
Army Corps,North Springfield Lake,98 Reservoir Road,Springfield,Vermont,05156,(802) 886-2775,http://www.nae.usace.army.mil/Missions/Recreation/North-Springfield-Lake/,"restrooms, beach, boat launch, group shelters, day use areas",All Year - By Request,Y,Y,
Army Corps,Okatibbee Lake,8490 Okatibbee Dam Road,Collinsville,Mississippi,39325,(601) 626-8431,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Okatibbee-Lake/,"restrooms,visitor center, day use, group shelters",Winter - By Request,Y,Y,
Army Corps,OLD HICKORY LAKE,5 POWER PLANT RD,HENDERSONVILLE,Tennessee,37075,(615) 822-4846,http://www.lrn.usace.army.mil/Locations/Lakes/Old-Hickory-Lake/,"Restrooms, Visitor Center, Group shelters, Day use areas",Summer,Y,Y,
Army Corps,Otter Brook Lake,480 Branch Road,Keene,New Hampshire,03431,(603) 352-4130,http://www.nae.usace.army.mil/Missions/Recreation/Otter-Brook-Lake/,"restrooms, beach, boat launch, group shelters, day use areas, ball field, disc golf course",All Year - By Request,Y,Y,
Army Corps,Patoka Lake,4512 N CUZCO RD SOUTH,DUBOIS,Indiana,47527,(812) 678-3761,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/Patoka-Lake/,"Restrooms,  group shelters, day use areas, playgrounds, fishing areas","Spring, Summer, Fall",Y,N,
Army Corps,Philpott Lake,1058 Philpott Dam Road,Bassett,Virginia,24055,(276) 629-2703,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/Philpott.aspx,"Restrooms, Visitor Center, Group Shelter, Day Use Areas, Other: Trails",All Year,Y,Y,
Army Corps,Pine Flat Lake,27295 Pine Flat Road,Sanger,California,93657,(559) 787-2589,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Pine-Flat-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Proctor,2180 FM Road 2861,Comanche,Texas,76442,(254) 879-2424,http://www.swf-wc.usace.army.mil/proctor/,"Group Shelters, Restrooms, Day Use Area","Spring, Fall, Winter",Y,Y,
Army Corps,Raystown Lake,6145 Seven Points Road,Hesston,Pennsylvania,16647,(814) 658-3405,https://nab.usace.afpims.mil/Missions/Dams-Recreation/Raystown/,"Restrooms, Visitor Center, Amphitheater, Camping, Day Use Areas, Walking Trails, Mountain Biking trails, Mountain Bike Skills Park, and Shelters",Spring,Y,Y,
Army Corps,Rough River Lake,14957 Falls of Rough Road,Falls of Rough,Kentucky,40119,(270) 257-2061,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakfes-RoughRiverLake,"Restrooms, Amphitheater, Group Shelter, Day Use Areas, Boat Ramps, Public Beach and campgrounds.",All Year,Y,Y,
Army Corps,Sam Rayburn,7696 RR 255 West,Jasper,Texas,75951,(409) 384-5716,http://www.swf-wc.usace.army.mil/samray/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps",All Year,Y,Y,
Army Corps,Santa Rosa Lake,2528 Joe & Louie Page Road,Santa Rosa,New Mexico,88435,(575) 472-3115,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/Santa-Rosa-Lake/,"Information Center, Day Use, Restrooms",None,N,Y,
Army Corps,Smithville Project Office,16311 DD Highway North,Smithville,Missouri,64089,(816) 532-0174,http://www.nwk.usace.army.mil/Locations/,"Restroom, Visitor Center, other",All Year ,Y,N,
Army Corps,Somerville,1560 Thornberry Drive,Somerville,Texas,77879,(979) 596-1622,http://www.swf-wc.usace.army.mil/Somerville,"Restrooms, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,South Florida Operations Office,525 Ridgelawn Road,Clewiston,Florida,33440,(863) 983-8101,http://www.saj.usace.army.mil/Missions/Civil-Works/Lake-Okeechobee/Okeechobee-Waterway-OWW/South-Florida-Operations-Office/,"Restrooms,","Spring, Fall, Winter",Y,Y,
Army Corps,Stanislaus River Parks,17968 Covered Bridge Road,Knight Ferry,California,95361,(209) 881-3517,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Stanislaus-River-Parks/,"Information Center, Camping, Day Use, Picnic Shelters, Restrooms",All Year,N,Y,
Army Corps,Stillhouse Hollow,3740 FM 1670,Belton,Texas,76513,(254) 939-2461,http://www.swf-wc.usace.army.mil/Stillhouse/,"Environmental Education, Restrooms, Group Shelter, Day Use Areas, Camping Facilities, Boat Ramps","Spring, Fall, Winter",Y,Y,
Army Corps,Success Lake,29330 Hwy 190,Porterville,California,93258,(559) 784-0215,http://www.spk.usace.army.mil/Locations/Sacramento-District-Parks/Success-Lake/,"Information Center, Camping, Day Use, Picnic Shelters, Amphitheatre, Restrooms",All Year,Y,Y,
Army Corps,Table Rock,4600 State Highway 165,Branson,Missouri,65616,(501) 340-1943,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/Table-Rock-Lake/,"Visitor Center, Restrooms, Education exhibits, trail",Year-around,Y,Y,
Army Corps,Taylorsville Lake,2825 Overlook Road,Taylorsville ,Kentucky,40071,(502) 477-8882,http://www.lrl.usace.army.mil/Missions/Civil-Works/,"Restrooms, Class C Visitor Center, Day use",All Year,Y,Y,
Army Corps,Tennessee Tombigbee Waterway,3606 West Plymouth Road,Columbus,Mississippi,39701,(662) 327-2142,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/TennesseeTombigbee-Waterway/,"Restrooms, Visitor Center, Group shelters, Day use areas",All Year - By Request,Y,Y,
Army Corps,Tennessee Tombigbee Waterway - Bay Springs Resource Office,82 Bay Springs Resource Road,Dennis,Mississippi,38838,(662) 423-1287,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/TennesseeTombigbee-Waterway/,"Restrooms, Visitor Center, Group shelters, Day use areas",All Year - By Request,Y,Y,
Army Corps,The Dalles Lock and Dam,3545 Bret Clodfelter Way,The Dalles,Oregon,97058,(541) 506-7857,http://www.nwp.usace.army.mil/Locations/Columbia-River/The-Dalles/,"Restrooms, Visitor Center, Group shelters, Day use areas",All Year,Y,Y,
Army Corps,Tioga-Hammond & Cowanesque Lakes,710 Ives Run Lane,Tioga,Pennsylvania,16946,(570) 835-5281,http://www.nab.usace.army.mil/Missions/Dams-Recreation/Tioga-Hammond/,"Restrooms, Visitor Center, Camping, Day Use Areas, Walking Trails, and Shelters",Spring,Y,Y,
Army Corps,Town Bluff,5171 FM 92 South,Woodville,Texas,75979,(409) 429-3491,http://www.swf-wc.usace.army.mil/townbluff/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps",All Year,Y,Y,
Army Corps,Trinidad Lake,10950 County Road 18.3,Trinidad,Colorado,81082,(719) 846-7990,http://www.spa.usace.army.mil/Missions/Civil-Works/Recreation/Trinidad-Lake/,"Information Center, Restrooms",None,N,N,
Army Corps,Tully Lake,2 Athol-Richmond Road,Royalston,Massachusetts,01368,(978) 249-9150,http://www.nae.usace.army.mil/Missions/Recreation/Tully-Lake/,"restrooms, day use areas, mountain bike trail, group shelters, disc golf course",All Year - By Request,Y,Y,
Army Corps,W. Kerr Scott Dam and Reservoir,499 Reservoir Road,Wilkesboro,North Carolina,28697,(336) 921-3390,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/WKerrScott.aspx,"Restrooms, Visitor Center, Environmental Education Facility, Amphitheater, Group Shelter,  Day Use Areas, Other: Trails",All Year,Y,Y,
Army Corps,Waco,3801 Zoo Park Drive,Waco,Texas,76708,(254) 756-5359,http://www.swf-wc.usace.army.mil/waco/,"Group Shelters, Restrooms, Day Use Area","Spring, Fall, Winter",Y,Y,
Army Corps,Walter F. George Lake/George W. Andrews Lake,427 Eufaula Road,Fort Gaines,Georgia,39851,(229) 768-2516,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Walter-F-George-Lake-Lake-George-W-Andrews/,"Restrooms, Visitor Center, Group shelters, Day use areas",All Year -  By Request,Y,Y,
Army Corps,West Fork Lake,10558 McKelvey Rd,Cincinnati,Ohio,45240,(513) 851-0611,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/West-Fork-of-Mill-Creek-Lake/,,,N,N,
Army Corps,West Hill Dam ,528 E. Hartford Avenue,Uxbridge,Massachusetts,01569,(508) 278-2511,http://www.nae.usace.army.mil/Missions/Recreation/West-Hill-Dam/,"restrooms, beach, day use areas, group shelters, volleyball court, playground",All Year - By Request,Y,Y,
Army Corps,West Point Lake,500 Resource Management Drive,West Point,Georgia,31833,(706) 645-2937,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/West-Point-Lake/,"Restrooms,  Visitor Center, Group shelters, Day use areas",All Year - By Request,Y,Y,
Army Corps,West Thompson lake,449 Reardon Rd,North Grosvenordale,Connecticut,06255,(860) 923-2982,http://www.nae.usace.army.mil/Missions/Recreation/West-Thompson-Lake/,"restrooms, campground, boat launch, day use areas, disc golf course, group shelters",All Year - By Request,Y,Y,
Army Corps,Whitney,285 CR 3602,Clifton,Texas,76634,(254) 622-3189,http://www.swf-wc.usace.army.mil/whitney/,"Group Shelters, Restrooms, Day Use Area","Spring, Fall, Winter",Y,Y,
Army Corps,William H Harsah Lake,2185 Slade Rd,Batavia ,Ohio,45102,(513) 797-6081,http://www.lrl.usace.army.mil/Missions/Civil-Works/Recreation/Lakes/William-H-Harsha-Lake/,"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use area",All Year,Y,Y,
Army Corps,Wright Patman,64 Clear Springs Park,Texarkana,Texas,75501,(903) 838-8781,http://www.swf-wc.usace.army.mil/wrightpatman/,"Restrooms, Visitor Center, Amphitheater, Group Shelters, Day Use Areas, Camping Facilities, Boat Ramps",All Year,Y,Y,
Army Corps,Hopkinton Everett Lakes,2097 Maple Street,Contoocook,New Hampshire,03229,(603) 746-3601,http://www.nae.usace.army.mil/Missions/Recreation/Hopkinton-Everett-Lake/,"restrooms, group shelters, beach, envrionmental education facility, day use areas, OHRV & Mountain Bike Trails",All Year - By Request,Y,Y,
Army Corps,Lake Seminole (Woodruff/Seminole Site Office),616 Hales Landing Road,Bainbridge,Georgia,39817,(229) 662-2001,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Lake-Seminole/,"Restrooms, Group Shelters, Day Use Areas, Boat Launch",Spring,N,Y,
Army Corps,Lake Seminole (Woodruff/Seminole Site Office),2382 Booster Club Road,Chattahooche,Florida,32324,(229) 662-2001,http://www.sam.usace.army.mil/Missions/Civil-Works/Recreation/Lake-Seminole/,"Restrooms, Visitor Center, Group Shelters, Day Use Areas, Fishing Pier",Spring,N,Y,
Bureau of Reclamation,American River Water Education Center (ARWEC),7785 Folsom Auburn Rd,Folsom,California,95630,(916) 989-7132,http://www.usbr.gov/mp/arwec,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Demonstration Garden","Winter, Spring, Fall",Y,Y,
Bureau of Reclamation,Lake Berryessa Reservoir, , ,California,94558,(707) 966-2111,http://www.usbr.gov/mp/ccao/berryessa/,"Restrooms, Visitor Center, Group shelters, Day use areas",All Year,N,Y,
Bureau of Reclamation,Riverside Group Use Shelter,7700 Canyon Ferry Road,Helena,Montana,59602,(406) 475-3921,http://www.recreation.gov/camping/riverside-campground-and-group-use-area/r/campgroundDetails.do?contractCode=NRSO&parkId=100030,"Restrooms, Group Shelters, Day Use Areas, Picnic Areas, Picnic Shelters, Beach Access, Fishing, Group Camping, Pets Allowed, Recycling, Swimming, Water, Water Access, Water Activities, Wildlife Viewing","Spring, Summer, Fall",N,Y,
Bureau of Reclamation,New Melones Lake,6850 Studhorse Flat Rd,Sonora,California,95370,(209) 536-9094,http://www.usbr.gov/mp/ccao/newmelones/,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas","Spring, Fall",N,Y,
Bureau of Land Management,BLM Campbell Creek Science Center,5600 Science Center Dr,Anchorage,Alaska,99507,(907) 267-1241,http://www.blm.gov/ak/st/en/prog/sciencecenter.html,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Low-ropes course, activity fields, archaeological mock-dig site",All Year,Y,Y,
Bureau of Land Management,Gunnison Gorge National Conservation Area,2465 S Townsend Ave,Montrose,Colorado,81401,(970) 240-5300,http://www.blm.gov/co/st/en/nca/ggnca.html,"Restrooms, Visitor Center, Group shelters, Day use areas, Universally accessible fishing pier; river access; Off-highway vehicle training area","Spring, Fall",N,Y,
Bureau of Land Management,McInnis Canyons National Conservation Area,2815 H Rd,Grand Junction,Colorado,81506,(970) 244-3000,http://www.blm.gov/co/st/en/BLM_Programs/recreation/recreation_areas0/grand_junction_field/mcinnis_canyons_nca.html,"Restrooms, Visitor Center, Day use areas, Interpreted geology and paleontology hikes; campground","Winter, Spring, Fall",N,Y,
Bureau of Land Management,Garden Park Fossil Area,3028 E Main St,Canon City,Colorado,81212,(719) 269-8500,http://www.handsontheland.org/site-profiles?Itemid=5&alias=garden-park-fossil-area,"Restrooms, Amphitheater, Day use areas",All Year,N,Y,
Bureau of Land Management,Dominguez Escalante National Conservation Area,2815 H Rd,Grand Junction,Colorado,81506,(970) 244-3000,http://www.blm.gov/co/st/en/nca/denca.html,"Restrooms, Visitor Center, Day use areas, Campgrounds","Winter, Spring, Fall",N,Y,
Bureau of Land Management,The Table Rocks Management Area - Upper Table Rock & Lower Table Rock,Table Rock Rd,Central Point,Oregon,97502,(541) 618-2200,http://www.blm.gov/or/resources/recreation/tablerock/index.php,"Restrooms, Guided trails",All Year,Y,Y,
Bureau of Land Management,Wildwood Recreation Area,US 26,Welches,Oregon,97067,(503) 375-5646,http://www.blm.gov/or/resources/recreation/site_info.php?siteid=221,"Restrooms, Group shelters, Day use areas, ADA-accessible wetland boardwalk, underwater viewing chamber, Wild & Scenic River, ball fields, playground","Spring, Summer, Fall",N,Y,
Bureau of Land Management,Yaquina Head Outstanding Natural Area and Interpretive Center,750 NW Lighthouse Dr,Newport,Oregon,97365,(541) 574-3100,http://www.blm.gov/or/resources/recreation/yaquina/index.php,"Restrooms, Visitor Center, Environmental education facility, Day use areas, Lighthouse, Tidepools, ADA accessible",All Year,N,Y,
Bureau of Land Management,Jupiter Inlet Lighthouse Outstanding Natural Area,500 Captain Armours Way,Jupiter,Florida,33469,(561) 747-8380,http://www.blm.gov/es/st/en/prog/NLCS/JIL_ONA.html,"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use areas, Museum, Observation Deck, Historic Structures, Developed Trails",All Year,N,Y,
